,Ticker,Expires,Data_Date,UnderlyingPrice
5364,AAWW,"Feb 16, 2018","Feb 05, 2018",52.75
5410,AAWW,"Mar 16, 2018","Feb 05, 2018",52.75
5438,AAWW,"May 18, 2018","Feb 05, 2018",52.75
5488,AAWW,"Aug 17, 2018","Feb 05, 2018",52.75
10312,ACAD,"Feb 09, 2018","Feb 05, 2018",26.91
10386,ACAD,"Feb 16, 2018","Feb 05, 2018",26.91
10450,ACAD,"Feb 23, 2018","Feb 05, 2018",26.91
10494,ACAD,"Mar 02, 2018","Feb 05, 2018",26.91
10538,ACAD,"Mar 09, 2018","Feb 05, 2018",26.91
10574,ACAD,"Mar 16, 2018","Feb 05, 2018",26.91
10650,ACAD,"Mar 23, 2018","Feb 05, 2018",26.91
10678,ACAD,"Jun 15, 2018","Feb 05, 2018",26.91
10752,ACAD,"Sep 21, 2018","Feb 05, 2018",26.91
10818,ACAD,"Jan 18, 2019","Feb 05, 2018",26.91
10846,ACAD,"Jan 17, 2020","Feb 05, 2018",26.91
18448,AEGN,"Feb 16, 2018","Feb 05, 2018",23.44
18462,AEGN,"Mar 16, 2018","Feb 05, 2018",23.44
18478,AEGN,"Jun 15, 2018","Feb 05, 2018",23.44
18492,AEGN,"Sep 21, 2018","Feb 05, 2018",23.44
23080,AGIO,"Feb 16, 2018","Feb 05, 2018",73.87
23108,AGIO,"Mar 16, 2018","Feb 05, 2018",73.87
23136,AGIO,"May 18, 2018","Feb 05, 2018",73.87
23166,AGIO,"Aug 17, 2018","Feb 05, 2018",73.87
28456,AKBA,"Feb 16, 2018","Feb 05, 2018",14.14
28478,AKBA,"Mar 16, 2018","Feb 05, 2018",14.14
28500,AKBA,"Apr 20, 2018","Feb 05, 2018",14.14
28522,AKBA,"Jul 20, 2018","Feb 05, 2018",14.14
28668,AKRX,"Feb 16, 2018","Feb 05, 2018",32.0
28692,AKRX,"Mar 16, 2018","Feb 05, 2018",32.0
28718,AKRX,"Jun 15, 2018","Feb 05, 2018",32.0
28742,AKRX,"Sep 21, 2018","Feb 05, 2018",32.0
28766,AKS,"Feb 09, 2018","Feb 05, 2018",4.65
28812,AKS,"Feb 16, 2018","Feb 05, 2018",4.65
28860,AKS,"Feb 23, 2018","Feb 05, 2018",4.65
28906,AKS,"Mar 02, 2018","Feb 05, 2018",4.65
28950,AKS,"Mar 09, 2018","Feb 05, 2018",4.65
28996,AKS,"Mar 16, 2018","Feb 05, 2018",4.65
29022,AKS,"Mar 23, 2018","Feb 05, 2018",4.65
