,Ticker,Expires,Data_Date,UnderlyingPrice
3406,AAWW,20-Jan-17,27-Dec-16,52.95
3426,AAWW,17-Feb-17,27-Dec-16,52.95
3462,AAWW,19-May-17,27-Dec-16,52.95
3500,AAWW,18-Aug-17,27-Dec-16,52.95
7904,ACAD,30-Dec-16,27-Dec-16,28.945
7978,ACAD,6-Jan-17,27-Dec-16,28.945
8060,ACAD,13-Jan-17,27-Dec-16,28.945
8140,ACAD,20-Jan-17,27-Dec-16,28.945
8280,ACAD,27-Jan-17,27-Dec-16,28.945
8358,ACAD,3-Feb-17,27-Dec-16,28.945
8436,ACAD,17-Feb-17,27-Dec-16,28.945
8488,ACAD,17-Mar-17,27-Dec-16,28.945
8568,ACAD,16-Jun-17,27-Dec-16,28.945
8630,ACAD,19-Jan-18,27-Dec-16,28.945
8674,ACAD,18-Jan-19,27-Dec-16,28.945
15578,AEGN,20-Jan-17,27-Dec-16,25.16
15594,AEGN,17-Feb-17,27-Dec-16,25.16
15610,AEGN,17-Mar-17,27-Dec-16,25.16
15624,AEGN,16-Jun-17,27-Dec-16,25.16
20218,AGIO,20-Jan-17,27-Dec-16,43.37
20242,AGIO,17-Feb-17,27-Dec-16,43.37
20270,AGIO,19-May-17,27-Dec-16,43.37
20298,AGIO,18-Aug-17,27-Dec-16,43.37
27528,AKBA,20-Jan-17,27-Dec-16,10.27
27540,AKBA,17-Feb-17,27-Dec-16,10.27
27552,AKBA,21-Apr-17,27-Dec-16,10.27
27564,AKBA,21-Jul-17,27-Dec-16,10.27
27672,AKRX,20-Jan-17,27-Dec-16,21.48
27708,AKRX,17-Feb-17,27-Dec-16,21.48
27726,AKRX,17-Mar-17,27-Dec-16,21.48
27752,AKRX,16-Jun-17,27-Dec-16,21.48
27776,AKRX,19-Jan-18,27-Dec-16,21.48
27814,AKS,30-Dec-16,27-Dec-16,10.74
27896,AKS,6-Jan-17,27-Dec-16,10.74
27964,AKS,13-Jan-17,27-Dec-16,10.74
28032,AKS,20-Jan-17,27-Dec-16,10.74
28110,AKS,27-Jan-17,27-Dec-16,10.74
28170,AKS,3-Feb-17,27-Dec-16,10.74
28230,AKS,17-Feb-17,27-Dec-16,10.74
28268,AKS,17-Mar-17,27-Dec-16,10.74
28320,AKS,16-Jun-17,27-Dec-16,10.74
28360,AKS,19-Jan-18,27-Dec-16,10.74
28394,AKS,18-Jan-19,27-Dec-16,10.74
28794,ALDR,20-Jan-17,27-Dec-16,21.5
28812,ALDR,17-Feb-17,27-Dec-16,21.5
28826,ALDR,21-Apr-17,27-Dec-16,21.5
28842,ALDR,21-Jul-17,27-Dec-16,21.5
29318,ALGN,20-Jan-17,27-Dec-16,98.66
29354,ALGN,17-Feb-17,27-Dec-16,98.66
29396,ALGN,21-Apr-17,27-Dec-16,98.66
29434,ALGN,21-Jul-17,27-Dec-16,98.66
30772,ALNY,20-Jan-17,27-Dec-16,41.04
30814,ALNY,17-Feb-17,27-Dec-16,41.04
30834,ALNY,17-Mar-17,27-Dec-16,41.04
30878,ALNY,16-Jun-17,27-Dec-16,41.04
30902,ALNY,20-Oct-17,27-Dec-16,41.04
30920,ALNY,19-Jan-18,27-Dec-16,41.04
