,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
155068,CRZO,22.28,*,call,37.5,0.1,0.05,0.2,305,155,0,2016-03-18,2016-02-18
155069,CRZO,22.28,*,put,37.5,0.0,13.1,15.7,0,0,0,2016-03-18,2016-02-18
155070,CRZO,22.28,*,call,40.0,0.0,0.0,0.5,0,0,0,2016-03-18,2016-02-18
155071,CRZO,22.28,*,put,40.0,0.0,15.6,18.2,0,0,0,2016-03-18,2016-02-18
155072,CRZO,22.28,*,call,7.5,0.0,14.4,17.3,0,0,0,2016-04-15,2016-02-18
155073,CRZO,22.28,*,put,7.5,0.0,0.0,0.4,0,0,0,2016-04-15,2016-02-18
155074,CRZO,22.28,*,call,10.0,0.0,11.5,14.7,0,0,0,2016-04-15,2016-02-18
155075,CRZO,22.28,*,put,10.0,0.2,0.05,0.5,0,190,0,2016-04-15,2016-02-18
155076,CRZO,22.28,*,call,12.5,0.0,9.1,12.3,0,0,0,2016-04-15,2016-02-18
155077,CRZO,22.28,*,put,12.5,0.65,0.1,0.6,0,50,0,2016-04-15,2016-02-18
155078,CRZO,22.28,*,call,15.0,0.0,7.6,10.1,0,0,0,2016-04-15,2016-02-18
155079,CRZO,22.28,*,put,15.0,2.3,0.35,0.85,0,250,0,2016-04-15,2016-02-18
155080,CRZO,22.28,*,call,17.5,6.8,5.4,8.1,0,98,0,2016-04-15,2016-02-18
155081,CRZO,22.28,*,put,17.5,1.4,1.0,1.3,0,1024,0,2016-04-15,2016-02-18
155082,CRZO,22.28,*,call,20.0,5.0,4.2,6.8,0,248,0,2016-04-15,2016-02-18
155083,CRZO,22.28,*,put,20.0,2.3,1.9,2.1,0,515,0,2016-04-15,2016-02-18
155084,CRZO,22.28,*,call,22.5,4.0,2.95,3.2,0,315,0,2016-04-15,2016-02-18
155085,CRZO,22.28,*,put,22.5,3.5,3.0,3.3,0,530,0,2016-04-15,2016-02-18
155086,CRZO,22.28,*,call,25.0,2.85,1.85,2.1,0,1165,0,2016-04-15,2016-02-18
155087,CRZO,22.28,*,put,25.0,4.9,4.3,4.9,0,242,0,2016-04-15,2016-02-18
155088,CRZO,22.28,*,call,27.5,1.6,1.2,1.4,6,194,0,2016-04-15,2016-02-18
155089,CRZO,22.28,*,put,27.5,6.0,5.3,6.8,0,59,0,2016-04-15,2016-02-18
155090,CRZO,22.28,*,call,30.0,1.1,0.75,0.9,105,388,0,2016-04-15,2016-02-18
155091,CRZO,22.28,*,put,30.0,7.74,7.7,8.9,0,130,0,2016-04-15,2016-02-18
155092,CRZO,22.28,*,call,32.5,0.65,0.45,0.6,5,71,0,2016-04-15,2016-02-18
155093,CRZO,22.28,*,put,32.5,16.11,8.3,11.0,0,58,0,2016-04-15,2016-02-18
155094,CRZO,22.28,*,call,35.0,0.4,0.25,0.45,17,256,0,2016-04-15,2016-02-18
155095,CRZO,22.28,*,put,35.0,10.7,10.8,13.6,0,65,0,2016-04-15,2016-02-18
155096,CRZO,22.28,*,call,37.5,0.4,0.05,0.5,0,40,0,2016-04-15,2016-02-18
155097,CRZO,22.28,*,put,37.5,9.79,13.1,16.1,0,66,0,2016-04-15,2016-02-18
155098,CRZO,22.28,*,call,40.0,0.31,0.0,0.5,0,83,0,2016-04-15,2016-02-18
155099,CRZO,22.28,*,put,40.0,15.7,15.6,18.4,0,40,0,2016-04-15,2016-02-18
155100,CRZO,22.28,*,call,42.5,0.39,0.0,0.5,0,737,0,2016-04-15,2016-02-18
155101,CRZO,22.28,*,put,42.5,6.4,18.1,20.9,0,51,0,2016-04-15,2016-02-18
155102,CRZO,22.28,*,call,45.0,0.2,0.0,0.5,0,48,0,2016-04-15,2016-02-18
155103,CRZO,22.28,*,put,45.0,9.9,20.5,23.3,0,5,0,2016-04-15,2016-02-18
155104,CRZO,22.28,*,call,47.5,0.15,0.0,0.5,0,33,0,2016-04-15,2016-02-18
155105,CRZO,22.28,*,put,47.5,9.8,22.8,25.9,0,10,0,2016-04-15,2016-02-18
155106,CRZO,22.28,*,call,50.0,0.1,0.0,0.5,0,90,0,2016-04-15,2016-02-18
155107,CRZO,22.28,*,put,50.0,27.4,25.5,28.5,0,22,0,2016-04-15,2016-02-18
155108,CRZO,22.28,*,call,55.0,0.1,0.0,0.5,0,60,0,2016-04-15,2016-02-18
155109,CRZO,22.28,*,put,55.0,21.8,30.5,33.5,0,1,0,2016-04-15,2016-02-18
155110,CRZO,22.28,*,call,5.0,0.0,16.9,19.8,0,0,0,2016-07-15,2016-02-18
155111,CRZO,22.28,*,put,5.0,0.0,0.0,0.5,0,0,0,2016-07-15,2016-02-18
155112,CRZO,22.28,*,call,7.5,0.0,14.3,17.6,0,0,0,2016-07-15,2016-02-18
155113,CRZO,22.28,*,put,7.5,0.0,0.2,0.5,0,0,0,2016-07-15,2016-02-18
155114,CRZO,22.28,*,call,10.0,0.0,12.1,15.3,0,0,0,2016-07-15,2016-02-18
155115,CRZO,22.28,*,put,10.0,0.0,0.35,0.75,0,0,0,2016-07-15,2016-02-18
155116,CRZO,22.28,*,call,12.5,0.0,10.3,13.0,0,0,0,2016-07-15,2016-02-18
155117,CRZO,22.28,*,put,12.5,1.15,0.55,1.1,0,20,0,2016-07-15,2016-02-18
155118,CRZO,22.28,*,call,15.0,8.21,8.4,11.2,0,1,0,2016-07-15,2016-02-18
