AAWW~call~37.5~14.0~17.0~01/20/2017
AAWW~put~37.5~0.0~1.0~01/20/2017
AAWW~call~40.0~11.6~14.3~01/20/2017
AAWW~put~40.0~0.0~1.05~01/20/2017
AAWW~call~42.5~8.5~12.3~01/20/2017
AAWW~put~42.5~0.0~0.95~01/20/2017
AAWW~call~45.0~6.7~9.4~01/20/2017
AAWW~put~45.0~0.0~0.55~01/20/2017
AAWW~call~47.5~4.7~6.8~01/20/2017
AAWW~put~47.5~0.05~0.5~01/20/2017
AAWW~call~50.0~3.5~3.9~01/20/2017
AAWW~put~50.0~0.6~0.85~01/20/2017
AAWW~call~52.5~1.8~2.15~01/20/2017
AAWW~put~52.5~1.35~1.7~01/20/2017
AAWW~call~55.0~0.75~1.05~01/20/2017
AAWW~put~55.0~2.75~3.1~01/20/2017
AAWW~call~57.5~0.25~0.65~01/20/2017
AAWW~put~57.5~4.1~5.4~01/20/2017
AAWW~call~60.0~0.0~1.2~01/20/2017
AAWW~put~60.0~6.3~8.5~01/20/2017
AAWW~call~22.5~29.0~31.9~02/17/2017
AAWW~put~22.5~0.0~0.05~02/17/2017
AAWW~call~25.0~26.5~30.2~02/17/2017
AAWW~put~25.0~0.0~0.05~02/17/2017
AAWW~call~27.5~23.6~27.8~02/17/2017
AAWW~put~27.5~0.0~1.1~02/17/2017
AAWW~call~30.0~21.0~25.1~02/17/2017
AAWW~put~30.0~0.0~1.1~02/17/2017
AAWW~call~32.5~18.7~22.8~02/17/2017
AAWW~put~32.5~0.0~1.15~02/17/2017
AAWW~call~35.0~16.3~19.7~02/17/2017
AAWW~put~35.0~0.0~1.2~02/17/2017
AAWW~call~37.5~14.1~17.6~02/17/2017
AAWW~put~37.5~0.0~1.25~02/17/2017
AAWW~call~40.0~11.9~14.4~02/17/2017
AAWW~put~40.0~0.0~0.6~02/17/2017
AAWW~call~42.5~10.0~12.1~02/17/2017
AAWW~put~42.5~0.45~0.8~02/17/2017
AAWW~call~45.0~7.7~9.4~02/17/2017
AAWW~put~45.0~0.5~1.0~02/17/2017
AAWW~call~47.5~6.4~7.3~02/17/2017
AAWW~put~47.5~0.8~1.55~02/17/2017
AAWW~call~50.0~4.6~5.3~02/17/2017
AAWW~put~50.0~1.35~2.25~02/17/2017
AAWW~call~52.5~2.95~3.8~02/17/2017
AAWW~put~52.5~2.3~3.2~02/17/2017
AAWW~call~55.0~1.75~2.7~02/17/2017
AAWW~put~55.0~3.7~4.5~02/17/2017
AAWW~call~57.5~1.0~1.85~02/17/2017
AAWW~put~57.5~5.5~6.3~02/17/2017
AAWW~call~60.0~0.55~1.2~02/17/2017
AAWW~put~60.0~7.5~8.2~02/17/2017
AAWW~call~62.5~0.15~1.05~02/17/2017
AAWW~put~62.5~9.0~11.0~02/17/2017
AAWW~call~65.0~0.0~1.25~02/17/2017
AAWW~put~65.0~10.8~13.8~02/17/2017
