,Ticker,Expires,Data_Date,UnderlyingPrice
3642,AAWW,17-Feb-17,6-Feb-17,51.6
3678,AAWW,17-Mar-17,6-Feb-17,51.6
3704,AAWW,19-May-17,6-Feb-17,51.6
3742,AAWW,18-Aug-17,6-Feb-17,51.6
8126,ACAD,10-Feb-17,6-Feb-17,37.85
8226,ACAD,17-Feb-17,6-Feb-17,37.85
8332,ACAD,24-Feb-17,6-Feb-17,37.85
8414,ACAD,3-Mar-17,6-Feb-17,37.85
8508,ACAD,10-Mar-17,6-Feb-17,37.85
8588,ACAD,17-Mar-17,6-Feb-17,37.85
8668,ACAD,24-Mar-17,6-Feb-17,37.85
8728,ACAD,16-Jun-17,6-Feb-17,37.85
8806,ACAD,15-Sep-17,6-Feb-17,37.85
8876,ACAD,19-Jan-18,6-Feb-17,37.85
8920,ACAD,18-Jan-19,6-Feb-17,37.85
15486,AEGN,17-Feb-17,6-Feb-17,23.17
15502,AEGN,17-Mar-17,6-Feb-17,23.17
15516,AEGN,16-Jun-17,6-Feb-17,23.17
15540,AEGN,15-Sep-17,6-Feb-17,23.17
20110,AGIO,17-Feb-17,6-Feb-17,44.42
20138,AGIO,17-Mar-17,6-Feb-17,44.42
20156,AGIO,19-May-17,6-Feb-17,44.42
20184,AGIO,18-Aug-17,6-Feb-17,44.42
27179,AKBA,17-Feb-17,6-Feb-17,10.01
27191,AKBA,17-Mar-17,6-Feb-17,10.01
27205,AKBA,21-Apr-17,6-Feb-17,10.01
27217,AKBA,21-Jul-17,6-Feb-17,10.01
27323,AKRX,17-Feb-17,6-Feb-17,20.06
27341,AKRX,17-Mar-17,6-Feb-17,20.06
27367,AKRX,16-Jun-17,6-Feb-17,20.06
27391,AKRX,15-Sep-17,6-Feb-17,20.06
27407,AKRX,19-Jan-18,6-Feb-17,20.06
27445,AKS,10-Feb-17,6-Feb-17,8.2
27519,AKS,17-Feb-17,6-Feb-17,8.2
27593,AKS,24-Feb-17,6-Feb-17,8.2
27663,AKS,3-Mar-17,6-Feb-17,8.2
27735,AKS,10-Mar-17,6-Feb-17,8.2
27785,AKS,17-Mar-17,6-Feb-17,8.2
27837,AKS,24-Mar-17,6-Feb-17,8.2
27887,AKS,16-Jun-17,6-Feb-17,8.2
27931,AKS,15-Sep-17,6-Feb-17,8.2
27969,AKS,19-Jan-18,6-Feb-17,8.2
28003,AKS,18-Jan-19,6-Feb-17,8.2
28393,ALDR,17-Feb-17,6-Feb-17,23.15
28407,ALDR,17-Mar-17,6-Feb-17,23.15
28421,ALDR,21-Apr-17,6-Feb-17,23.15
28437,ALDR,21-Jul-17,6-Feb-17,23.15
